event;tag;sport;category;sport_code
Duet;artistic-swimming;Artistic Swimming;Aquatic Sports;SWA
Team;artistic-swimming;Artistic Swimming;Aquatic Sports;SWA
Women's 3m Springboard;diving;Diving;Aquatic Sports;DIV
Women's 10m Platform;diving;Diving;Aquatic Sports;DIV
Women's Synchronised 3m Springboard;diving;Diving;Aquatic Sports;DIV
Women's Synchronised 10m Platform;diving;Diving;Aquatic Sports;DIV
Men's 3m Springboard;diving;Diving;Aquatic Sports;DIV
Men's 10m Platform;diving;Diving;Aquatic Sports;DIV
Men's Synchronised 3m Springboard;diving;Diving;Aquatic Sports;DIV
Men's Synchronised 10m Platform;diving;Diving;Aquatic Sports;DIV
Women's 10km;marathon-swimming;Marathon Swimming;Aquatic Sports;OWS
Men's 10km;marathon-swimming;Marathon Swimming;Aquatic Sports;OWS
Women's 50m Freestyle;swimming;Swimming;Aquatic Sports;SWM
Women's 100m Freestyle;swimming;Swimming;Aquatic Sports;SWM
Women's 200m Freestyle;swimming;Swimming;Aquatic Sports;SWM
Women's 400m Freestyle;swimming;Swimming;Aquatic Sports;SWM
Women's 800m Freestyle;swimming;Swimming;Aquatic Sports;SWM
Women's 1500m Freestyle;swimming;Swimming;Aquatic Sports;SWM
Women's 100m Backstroke;swimming;Swimming;Aquatic Sports;SWM
Women's 200m Backstroke;swimming;Swimming;Aquatic Sports;SWM
Women's 100m Breaststroke;swimming;Swimming;Aquatic Sports;SWM
Women's 200m Breaststroke;swimming;Swimming;Aquatic Sports;SWM
Women's 100m Butterfly;swimming;Swimming;Aquatic Sports;SWM
Women's 200m Butterfly;swimming;Swimming;Aquatic Sports;SWM
Women's 200m Individual Medley;swimming;Swimming;Aquatic Sports;SWM
Women's 400m Individual Medley;swimming;Swimming;Aquatic Sports;SWM
Women's 4 x 100m Freestyle Relay;swimming;Swimming;Aquatic Sports;SWM
Women's 4 x 200m Freestyle Relay;swimming;Swimming;Aquatic Sports;SWM
Women's 4 x 100m Medley Relay;swimming;Swimming;Aquatic Sports;SWM
Men's 50m Freestyle;swimming;Swimming;Aquatic Sports;SWM
Men's 100m Freestyle;swimming;Swimming;Aquatic Sports;SWM
Men's 200m Freestyle;swimming;Swimming;Aquatic Sports;SWM
Men's 400m Freestyle;swimming;Swimming;Aquatic Sports;SWM
Men's 800m Freestyle;swimming;Swimming;Aquatic Sports;SWM
Men's 1500m Freestyle;swimming;Swimming;Aquatic Sports;SWM
Men's 100m Backstroke;swimming;Swimming;Aquatic Sports;SWM
Men's 200m Backstroke;swimming;Swimming;Aquatic Sports;SWM
Men's 100m Breaststroke;swimming;Swimming;Aquatic Sports;SWM
Men's 200m Breaststroke;swimming;Swimming;Aquatic Sports;SWM
Men's 100m Butterfly;swimming;Swimming;Aquatic Sports;SWM
Men's 200m Butterfly;swimming;Swimming;Aquatic Sports;SWM
Men's 200m Individual Medley;swimming;Swimming;Aquatic Sports;SWM
